id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
23,1,"c, design, java, database, sql, computer, software, javascript, software development, programming, data structures, software developer, code, web, source, algorithms, application, agile, data","problem, collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",,Master,None,"development, code, application, web, develop"
24,1,"c, application development, software, api, application, test, software development",work,network,Bachelor,Intern,"test, api, development, application"
25,1,"c, cloud services, design, unit testing, web services, security, performance, docker, sql, computer, test automation, software, backend, nosql, aws, javascript, continuous, azure, programming, git, software development, software developer, google, code, coding, containerization, cloud, version control, troubleshoot, frontend, application, restful apis, backend development, agile, continuous integration, data, scrum","communication skills, analytical thinking, time, collaborative, feedback, active, learning, agile, written, work, scrum, communication, verbal","testing methodologies, version control systems, testing",None,Intern,"development, code, testing, web, application, test, automated"
26,1,"c, design, computer, version control, full, git","communication skills, creativity, collaboration, feedback, problem solving, learning",version control systems,None,None,
27,1,"data, algorithms, computer, version control, system, software, go, test, system test, integration, software engineering, docker, software development","project, teamwork, time, critical, task, learning, communication",version control systems,None,Senior,"test, system, development"
28,1,"rest api, design, web services, software, api, soap, performance, test, sql","responsibility, teamwork, analytical thinking, problem solving",,None,Senior,"development, api, web, test, develop, rest"
29,1,"build, full, software, test, data","collaborative, feedback, learning, work, analytical",,Bachelor,Entry Level,"test, develop, development"
30,1,"app development, design, build, integration, data","learning, work",,None,None,"develop, development"
31,1,"system, software, computer programming, application, agile, data, programming","initiative, problem solving, responsibility, task, agile, communication",,None,None,"system, application"
33,1,"c, software engineer, oop, deploy, design patterns, software, code, java, integration, programming","work, teamwork",,None,None,"deploy, code, development"
34,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,None,Senior,"development, testing"
51,1,"python, c, shell, matlab, php, java, swift, sql, typescript, html, computer, javascript, code, go, test, coding, functional, ruby, application, rust, data","flexibility, work, client",,None,None,"test, code, development, application"
52,1,algorithms,"learning, organization, feedback, peer",,PhD,Senior,
53,1,"design, cloud, postgresql, java, aws, javascript, sql, rest",,,None,None,rest
54,1,"design, typescript, build, computer, css, api, software, frontend, web, test, javascript, coding, unit testing","communication skills, client, written, work, independent, communication",testing,None,None,"development, api, testing, web, test, develop"
55,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,None,Senior,"development, testing"
56,1,"c, web services, mongodb, version control, kubernetes, software, postgresql, unit, application, javascript, git, docker, software development, programming","analytical thinking, teamwork, problem solving, active, work",version control systems,None,None,"application, develop, development, web"
57,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",,Bachelor,Entry Level,development
76,1,"c, html, css, full, software, code, performance, application, unit, troubleshooting, web, backend, functional, frontend, build, sql, scalability","work, time",testing,Master,Mid-Level,"development, code, testing, application, web, automated, framework"
77,1,"github, build, full, postgresql, application, continuous, agile, data, database","collaboration, time, growth, flexibility, learning, agile, work",,None,None,"development, application"
78,1,"design, debugging, php, security, api, java, performance, database, authentication, sql, docker, software engineer, kubernetes, backend, nosql, aws, javascript, azure, security best practices, web, cloud, frontend, application, troubleshooting, data","learning, work, debugging",performance optimization,None,None,"development, api, web, application, develop"
79,1,"c, design, debugging, full, software, code, java, aws, microservices, test, unit, performance, functional, application, data, azure, documentation, software development","collaboration, debugging, time, growth, critical, learning, work, documentation",,None,None,"development, creation, code, application, microservices, test, develop"
80,1,"python, c, design, debugging, algorithms, html, system, software, code, performance, application, test, java, javascript, web, troubleshooting, programming, data structures","project, debugging, teamwork, growth, work, communication","network, testing",None,None,"development, system, code, testing, application, test, web, develop"
81,1,"python, c, mongodb, algorithms, computer, kubernetes, software, security, web, api, backend, aws, encryption, docker, software development","communication skills, creativity, growth, critical, written, work, communication","network, testing",None,None,"development, api, testing, web, develop"
82,1,"design, debugging, bitbucket, build, full, system, software, code, frontend, css, frontend development, test, monitoring, deployment, github, git","project, time, debugging, teamwork, growth, learning, work, analytical, communication",testing,Bachelor,Intern,"development, system, code, testing, test, deployment"
89,1,"python, design, software developer, software applications, oop, debugging, deploy, computer, software, code, application, test, agile, git, source, programming","teamwork, debugging, agile, work, analytical, communication",testing,PhD,None,"development, deploy, code, testing, application, test, develop"
90,1,"design, build, full, backend, frontend, javascript, agile, source, data, software development, rest","communication skills, project, organization, written communication, growth, responsibility, verbal, time management, learning, mentor, work, agile, communication",,None,Senior,"implementation, development, rest"
91,1,"design, application development, integration testing, debugging, computer, software, code, unit, software development, programming","debugging, time, written, work, communication, verbal","network, testing",Bachelor,None,"development, code, testing, application, develop"
92,1,"design, security, performance, scalability, database, rest, computer, software, postgresql, nosql, aws, continuous, devops, programming, data structures, software development, code, go, test, sprint, algorithms, cloud, build, agile, unit testing, scrum","communication skills, teamwork, time, growth, critical, empathy, responsibility, agile, work, peer, scrum, analytical, communication","agile methodologies, network, testing",Master,None,"development, code, testing, test, refactoring, automated, rest"
93,1,"python, design, monitor, algorithms, build, computer, backend, performance, frontend, test, monitoring, functional, integration, data, visual, documentation","communication skills, project, time, organization, responsibility, learning, work, documentation, analytical",testing,None,None,"test, develop, development, testing"
94,1,"test, google, design, rest","creativity, project, adaptability, growth, active, written, work, verbal",,None,None,"test, rest"
95,1,"design, application development, build, computer, restful, code, backend, java, web, nosql, monitoring, agile, postgresql, software architecture, aws, data, programming","collaboration, agile, work, peer, analytical",network,Bachelor,Senior,"web, application, code, development"
96,1,"python, cloud services, design, api, performance, docker, sql, typescript, full, backend, postgresql, aws, integration, azure, git, programming, mysql, google, web, cloud, version control, restful, frontend, unit, restful apis, application, backend development, scalability","communication skills, work, analytical","api design, version control systems, testing",None,Senior,"development, api, testing, application, web, develop"
97,1,"design, typescript, deploy, build, security, troubleshoot, code, unit, test, application, aws, jira, api development, confluence, backend development, observability, documentation","collaboration, time, collaborative, feedback, growth, active, work, documentation, communication",,None,None,"development, deploy, api, code, application, test, develop"
98,1,"design, data, software engineering, cloud, computer, system, frontend, web, java, test, agile, coding, programming, kotlin, swift, software development","creativity, collaboration, teamwork, mentor, agile, work, learning, curiosity, communication",,None,Intern,"test, system, development, web"
99,1,"python, software engineering, algorithms, build, computer, mysql, software, version control, scala, aws, devops, data, github, programming","time, learning, work, communication",,Master,None,"implementation, framework, develop, development"
100,1,"python, design, full, computer, code, java, aws, test, troubleshooting, application, data, sql, documentation","communication skills, project, time, growth, presentation skills, work, documentation, analytical",,Bachelor,Intern,"development, code, application, test, develop, automated"
101,1,"python, c, algorithms, matlab, computer, system, software, performance, test, continuous, software development, documentation, programming","teamwork, analytical thinking, problem solving, responsibility, time management, learning, work, documentation",,Bachelor,Senior,"test, system, development"
102,1,"design, algorithms, design patterns, security, software",work,,None,Senior,
103,1,"design, oop, html, css, design patterns, version control, system, web, software, go, javascript, programming, software development","teamwork, analytical thinking",,None,Senior,"system, framework, development, web"
104,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",,Bachelor,Intern,"test, code, development"
105,1,"design, typescript, software, backend, java, javascript, rust, unit testing, programming","communication skills, project, written, work, independent",testing,None,Senior,"development, testing"
106,1,"c, design, algorithms, matlab, computer, software, test, functional, integration, programming","collaboration, attention, critical thinking, growth, problem solving, work, communication",network,None,None,"test, develop, development"
107,1,"c, design, performance, test, data, github, software development, programming","communication skills, creativity, collaboration, collaborative, written communication, critical, feedback, problem solving, task, attention to detail, analytical, communication",,None,Mid-Level,"test, creation, develop, development"
108,1,"python, c, design, software engineer, algorithms, deploy, computer, cloud, google, performance, aws, integration, data, azure, programming","communication skills, project, collaborative, growth, responsibility, learning, mentor, work",,PhD,Mid-Level,"deploy, automated, develop, development"
109,1,"cloud services, design, unit testing, debugging, design patterns, security, performance, app, java, swift, rest, system, kubernetes, backend, aws, continuous, devops, azure, git, code, coding, kotlin, sprint, build, version control, troubleshoot, application, restful apis, data","communication skills, collaboration, debugging, collaborative, growth, active, learning, written, work",testing,None,None,"development, system, code, application, testing, rest"
110,1,"oop, computer, full, software, design patterns, application, code, restful apis, agile, source, data, software development, git","collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",,Master,None,"code, develop, development, application"
111,1,"python, software engineering, build, computer, cloud, scala, java, test, continuous, coding, data, sql, programming","project, analytical thinking, presentation skills, problem solving, learning, written, communication",,Master,Entry Level,"test, develop, development"
112,1,"c, design, application development, build, computer, software, performance, application, test, web, agile, data, command, sql, software applications","communication skills, project, time, adaptability, growth, flexibility, attention to detail, agile, work, learning",testing,None,None,"development, testing, application, test, web, develop"
113,1,"python, cloud services, design, redis, performance, database, documentation, application development, software engineer, html, computer, full, software, postgresql, aws, javascript, deployment, devops, integration, azure, programming, software development, mongodb, google, code, web, test, go, cloud, css, agile","problem, communication skills, creativity, growth, initiative, attention to detail, written, agile, work, documentation, verbal","network, software development lifecycle, devops practices",None,None,"development, web application development, code, test, deployment"
114,1,"design, cloud, computer, version, software, jira, git, data, software development","verbal, written, communication",,None,None,"develop, development"
115,1,"python, design, continuous deployment, shell, design patterns, security, performance, documentation, monitor, software engineer, kubernetes, full, software, microservices, jira, git, software development, code, test, troubleshoot, application, continuous integration, software engineering","communication skills, mentoring, time, organization, feedback, critical, growth, mentor, written, work, learning, documentation, analytical",testing,None,Mid-Level,"development, code, testing, application, test, microservices, deployment, develop, automated"
116,1,"python, c, design, software engineer, software, command","stakeholder, work, initiative, communication",,None,Senior,"develop, development"
117,1,"typescript, html, computer, system, css, software, application, frontend, test, security, javascript, git, devops, azure, docker, software development, programming","problem, teamwork, learning, work, analytical, verbal",,Bachelor,Mid-Level,"test, system, development, application"
118,1,"c, design, oop, design patterns, api, database, docker, sql, typescript, computer, system, kubernetes, software, continuous, software development, code, web, containerization, cloud, application, agile, unit testing","learning, agile, work, project",testing,None,None,"development, system, api, code, testing, web, application"
119,1,"c, oop, software engineer, design patterns, code, java, programming","work, teamwork",testing,None,None,"code, develop, development, testing"
120,1,"oop, redis, performance, github, typescript, software, backend, postgresql, aws, microservices, continuous, javascript, devops, integration, git, mongodb, code, web, go, functional, build, cloud, css, version control, frontend, unit, unit testing","communication skills, growth, flexibility, learning, work","network, microservices architecture, testing",None,Senior,"development, code, web, testing, microservices, framework"
121,1,"python, data, software engineer, monitor, build, kubernetes, cloud, software, code, computer, application, go, observability, monitoring, test, source","work, learning, project",,None,None,"development, code, application, test, develop"
122,1,"python, oop, design patterns, performance, software, aws, tdd, continuous, azure, programming, data structures, google, code, web, go, test, algorithms, cloud, version control, modular, software engineering",,version control systems,None,Senior,"development, code, web, test, develop"
123,1,"design, typescript, backend, web, frontend, performance, code, restful apis, unit, integration, git","organization, learning, work",testing,None,None,"testing, develop, code, web"
124,1,"web services, swift, typescript, backend, aws, microservices, javascript, integration, programming, data structures, security best practices, code, web, test, coding, algorithms, cloud, build, frontend, application, restful apis","project, time, task, work, communication",,None,Expert,"development, code, creation, web, microservices, test, application, develop"
125,1,"python, cloud services, design, php, api, app, java, database, sql, documentation, rest, typescript, html, full, test automation, backend, postgresql, aws, javascript, mysql, google, code, web, go, build, css, cloud, application, frontend, frontend development, modular, unit testing","project, time, collaborative, growth, critical, learning, work, documentation, analytical",testing,None,Senior,"development, api, code, web, application, testing, test, develop, rest"
127,1,"design, api, performance, typescript, computer, backend, javascript, integration, git, security best practices, code, web, build, css, version control, troubleshoot, frontend, unit, restful apis, application, monitoring, frontend development, agile, data, scalability","feedback, agile, work",version control systems,None,None,"development, api, code, web, application, develop, implementation, framework"
128,1,"c, version, cloud, test, data, sql, programming","attention, critical, initiative, time management, work, curiosity, analytical, communication",testing,Bachelor,None,"test, develop, testing"
129,1,"python, c, design, algorithms, computer, software, code, java, nosql, test, continuous, programming, deployment, software development, data structures",work,testing,PhD,Senior,"development, code, testing, test, deployment, develop"
130,1,"python, oop, algorithms, cloud, kubernetes, code, application, aws, troubleshooting, devops, bash, software engineering, azure, docker, git","project, growth, critical, learning, work",,None,Intern,"development, develop, code, application"
131,1,"design, design patterns, java, sql, documentation, application development, system, full, software, computer, javascript, integration, command, programming, data structures, mongodb, web, coding, algorithms, cloud, application, backend development, data","time, interpersonal skills, critical thinking, problem solving, responsibility, work, verbal communication, documentation, analytical",,None,None,"development, system, web application development, application, web, develop, framework"
132,1,"python, c, data, software developer, build, computer, test automation, java, source control, application, web, devops, programming, git, software engineering, command, software development","responsibility, flexibility, attention to detail, learning, work, analytical",,PhD,None,"development, web, application, test, develop"
133,1,"sql, html, system, test automation, software, backend, computer, javascript, command, programming, google, code, web, go, software lifecycle, coding, build, css, application, frontend development, agile, data","analytical thinking, organization, growth, responsibility, time management, learning, agile, work",testing,None,None,"development, system, code, testing, web, test, application"
134,1,"c, oop, design patterns, code, java, programming","work, teamwork",testing,None,None,"code, development, testing"
135,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, build, cloud, software architecture, data, scalability","attention to detail, work, stakeholder, time",,None,None,"system, code, development"
136,1,"c, design, cloud, computer, api, performance, data, programming","work, learning, project, attention to detail",,Bachelor,Intern,"api, development"
137,1,"c, google cloud platform, redis, system architecture, app, database, rest, typescript, computer, software, backend, postgresql, javascript, deployment, continuous, git, mongodb, deploy, code, test, go, build, version control, cloud, application, restful apis, agile, data","creativity, collaboration, teamwork, responsibility, task, agile, work, communication",,None,Senior,"deploy, system, code, application, test, deployment, develop, rest"
138,1,"design, oop, build, computer, design patterns, version control, code, performance, unit, microservices, system, continuous, agile, coding, swift, continuous integration, integration, git","communication skills, feedback, initiative, mentor, agile, agile mindset","performance optimization, microservices architecture, testing",None,None,"development, system, code, testing, microservices, develop, framework, refactoring"
139,1,"python, design, typescript, html, css, version control, software, code, web, performance, application, javascript, source, visual, git","communication skills, project, attention to detail, learning, work, curiosity",version control systems,Bachelor,None,"development, code, application, web, framework"
141,1,"python, design, unit testing, oop, web services, redis, php, security, database, docker, sql, rest api, system, computer, software, backend, kubernetes, nosql, microservices, continuous, programming, software development, git, mysql, code, web, go, build, cloud, version control, monitoring, data",learning,"microservices architecture, version control systems, security principles, testing",None,None,"development, system, api, code, web, testing, microservices, develop, rest"
143,1,"performance tuning, software engineering, algorithms, cloud, performance, go, observability, monitoring, deployment, data, database, docker, documentation, software development, rest","problem, communication skills, time, attention, collaborative, organization, growth, flexibility, learning, work, documentation, communication","network, testing",None,None,"development, testing, deployment, automated, framework, rest"
144,1,"c, typescript, html, full, system, restful, code, application, api, css, javascript, api development, integration, authentication, software development","teamwork, initiative, responsibility, learning, work, communication",,None,Mid-Level,"development, system, api, code, application, develop, framework"
145,1,"design, github, typescript, computer, jira, javascript, git, programming, software development, data structures, code, web, coding, algorithms, css, frontend, restful apis, frontend development, agile, data","project, analytical thinking, written communication, growth, feedback, verbal, flexibility, learning, agile, work, communication",testing,None,Mid-Level,"development, code, testing, web, develop, automated"
146,1,"design, application development, software engineering, computer, version control, software, code, app, frontend, troubleshooting, frontend development, programming, integration, source, github, command, software development","critical, task, learning, work, communication",version control systems,None,None,"code, develop, development, application"
147,1,"redis, performance, app, html, full, computer, software, backend, javascript, git, google, code, web, go, coding, build, css, version control, cloud, frontend, application, restful apis, monitoring, data","accountability, project, collaboration, task, learning, work, work ethic, curiosity, communication",testing,Bachelor,Expert,"development, code, testing, application, web"
148,1,"design, ruby, redis, api, backend, app, unit, code, postgresql, aws, performance","flexibility, active, work, collaboration",api design,None,Senior,"api, development, code"
149,1,"python, design, debugging, redis, performance, java, docker, documentation, software engineer, typescript, full, kubernetes, backend, nosql, microservices, aws, continuous, software development, code, web, kotlin, sprint, containerization, build, cloud, restful, troubleshooting, agile, data, scalability","learning agility, collaboration, debugging, time, collaborative, adaptability, critical thinking, project, client, learning, agile, work, stakeholder, documentation, analytical, communication","microservices architecture, testing",None,None,"development, code, testing, web, microservices, develop, implementation, refactor, framework"
150,1,"design, redis, app, java, github, sql, software engineer, system, computer, backend, nosql, microservices, continuous, javascript, git, software development, code, web, version control, restful, frontend, agile, continuous integration, data","collaborative, feedback, written communication, agile, work, verbal","restful services, microservices architecture, version control systems",Master,Senior,"development, system, code, web, microservices, implementation, automated, framework"
151,1,"c, design, oop, computer, design patterns, full, code, java, software architecture, modular, coding, software engineering, command, programming","communication skills, collaboration, collaborative, feedback, learning, work",,Bachelor,None,"develop, code, development"
152,1,"data, cloud, computer, system, kubernetes, version control, code, aws, application, monitoring, devops, deployment, software engineering, azure, docker, git","collaborative, growth, learning, work",version control systems,None,None,"development, system, code, application, deployment, develop"
153,1,"application development, unit test, full, computer, backend, application, frontend, code, coding, data, sql, documentation","analytical, work, documentation, communication",,Bachelor,None,"development, code, application, test, develop, framework, refactoring"
154,1,"c, design, html, build, application, web, visual, javascript, data, command, documentation, programming","analytical thinking, work, documentation, analytical, communication",,None,None,"develop, web, application"
155,1,"python, design, software engineer, code, performance, monitoring, data, sql",work,,None,Senior,"develop, development, code"
156,1,"design, oop, redis, design patterns, security, performance, java, software engineer, system, computer, software, backend, aws, programming, code, cloud, software architecture, data, scalability","attention to detail, stakeholder, time",,None,None,"system, code, development"
169,1,"shell, full, security, application, aws, test, performance, data, azure","time, teamwork, learning, attention to detail, work",,None,None,"test, development, application"
170,1,"design, app, performance, documentation, typescript, monitor, google, code, web, test, go, coding, build, css, version control, troubleshoot, application, modular, data","problem, collaboration, collaborative, written communication, growth, learning, work, documentation, analytical, verbal",performance optimization,None,Expert,"development, code, web, application, test, develop, implementation"
171,1,"python, debugging, cloud, computer, google, kubernetes, code, application, aws, unit, software, programming, coding, data, azure, docker, scalability, software development","debugging, learning, work, time",,None,Mid-Level,"development, code, application, develop, framework"
172,1,"mongodb, typescript, redis, version control, system, mysql, kubernetes, web, api, full, tdd, javascript, sql, git, rest",growth,,None,None,"development, system, api, web, rest"
173,1,"python, design, algorithms, build, full, cloud, version control, performance, continuous, deployment, git, data, database, command, sql, programming","time, collaborative, growth, critical, learning, work, peer","version control systems, testing",None,Expert,"development, testing, deployment, develop, framework"
174,1,"app development, design, computer, full, code, performance, application, app, restful apis, github, programming","communication skills, work",testing,None,Mid-Level,"development, code, testing, application, develop"
175,1,"python, debugging, computer, performance, web, aws, deployment, integration, data, scalability, azure, docker, documentation","debugging, time, collaborative, feedback, written communication, work, documentation, independent, communication",,None,None,"automated, framework, deployment, web"
176,1,"c, coding, programming, programmer","feedback, responsibility, written, work, verbal communication, analytical",,None,None,develop
177,1,"c, design, oop, design patterns, api, performance, sdlc, database, sql, full, software, nosql, microservices, devops, deployment, software development, database integration, software developer, code, web, soap, go, test, build, restful, frontend, application, agile, data, scrum","project, time management, agile, work, scrum, communication","api design, software development lifecycle, data modeling",Bachelor,Mid-Level,"development, api, code, web, application, microservices, test, deployment, develop, legacy, framework"
178,1,"python, design, software engineering, security, performance, java, documentation, system, kubernetes, software, full, computer, javascript, bash, programming, command line, code, sprint, source, cloud, application, rust, data","accountability, collaboration, time, interpersonal skills, presentation, problem solving, responsibility, flexibility, organization skills, mentor, written, work, curiosity, learning, documentation",,Bachelor,None,"development, system, code, application, develop, implementation"
179,1,"python, design, algorithms, build, computer, matlab, software, cloud, google, monitoring, data, database","communication skills, growth, initiative, work, analytical",,PhD,None,develop
180,1,"design, html, computer, css, backend, code, frontend, coding, software development","work, collaborative, project",,None,None,"code, development"
181,1,"software, computer programming, test, authorization, continuous, database, sql, software development","teamwork, analytical thinking, problem solving, time management, learning",,None,Mid-Level,"test, develop, development"
182,1,"c, design, software engineer, full, computer, software, code, backend development, continuous, coding, software engineering, software development, programming","communication skills, project, time, collaborative, feedback, critical, critical thinking, verbal, written, work, communication",,None,Senior,"code, development"
195,1,"design, full, software, code, frontend, application, performance, unit, javascript, devops, continuous, integration, functional, test, documentation, software development","time, feedback, critical, growth, learning, work, documentation",testing,None,None,"development, code, testing, application, test, develop, implementation, automated"
196,1,"performance, app, rest, application development, typescript, html, software, javascript, continuous, command, software development, programming, data, test, go, build, css, application, agile, unit testing, scrum","creativity, collaboration, teamwork, critical, responsibility, task, agile, work, written, scrum, communication",testing,None,Expert,"development, testing, application, test, automated, rest"
198,1,"design, ruby, typescript, security, performance, aws, data, software development, scalability, programming","communication skills, growth mindset, collaborative, growth, critical thinking, problem solving, active, learning, work, analytical, communication",,None,None,"develop, development"
199,1,"python, debugging, redis, security, source control, github, docker, kubernetes, full, software, backend, postgresql, nosql, microservices, aws, javascript, devops, bash, integration, git, software development, mongodb, deploy, code, web, go, coding, source, cloud, troubleshoot, observability, monitoring, rust","communication skills, time, debugging, mentor, work","network, testing",None,Senior,"development, deploy, code, testing, web, microservices"
200,1,"design, build, application, app, data","communication skills, growth, feedback, task, learning, written, work, verbal communication",,None,Intern,"develop, application"
217,2,test,"responsibility, system",system integration,None,Mid-Level,
219,2,,"collaboration, change, critical, technical, incident, documentation",,None,Senior,
220,2,"linux, test, windows","communication skills, time, teamwork, planning, system, critical, task, analytical",,None,Senior,
221,2,python,"communication skills, reliability, collaboration, time, critical, technical, time management, attention to detail, learning, analytical, communication",,Bachelor,Mid-Level,
222,2,"linux, test, operating system, c","accountability, communication skills, collaboration, change, time, critical, system, responsibility, technical, learning, documentation, communication",,None,Senior,
224,2,"linux, test, windows","technical, communication skills, system, client",,None,None,
225,2,java,"time, system, initiative, responsibility, learning, solution",,Bachelor,Intern,
228,2,"test, c","technical, system, learning",system integration,None,Senior,
230,2,"linux, c, test, operating system","learning, system, documentation, communication",,None,Senior,
233,2,"python, test, linux, debug","project, system, client, documentation, communication",,None,None,
234,2,"linux, windows","technical, system, documentation",,None,Senior,
235,2,python,"communication skills, reliability, analytical",,Bachelor,None,
236,2,debug,"accountability, communication skills, collaboration, change, analytical thinking, time, responsibility, technical, communication",,Master,Senior,
238,2,"linux, c, microcontroller, python","accountability, reliability, collaboration, initiative, technical, responsibility, time management, attention to detail, documentation, communication",,None,Mid-Level,
239,2,test,"technical, initiative, project",,Bachelor,Senior,
245,2,python,"communication skills, collaboration, planning",,None,None,
247,2,,technical,,None,None,
248,2,"c, debug",initiative,,None,None,
249,2,"python, test, c","collaboration, responsibility, technical, learning, workflow, communication",,Master,None,
250,2,,"learning, critical, change",,None,None,
251,2,"linux, test, debug, c","communication skills, time, teamwork, technical, task, learning, documentation, communication",,None,None,
252,2,"python, c, test, algorithm","communication, time",,None,Senior,
253,2,,"troubleshooting, critical, system, analytical",,None,None,
254,2,"linux, python","accountability, communication skills, reliability, project, system, initiative, technical, flexibility, learning, curiosity, documentation",,Bachelor,Senior,
255,2,,"project, teamwork, system, analytical, communication",,None,None,
256,2,,"learning, critical",,None,Senior,
257,2,python,"reliability, collaboration, time, clarity, technical, responsibility, learning, curiosity, communication",,None,None,
259,2,"linux, c","communication skills, project, analytical, problem solving",,None,Senior,
260,2,,"technical, communication, client",,None,Senior,
261,2,c,"troubleshooting, communication skills, analytical",,None,None,
262,2,python,"learning, problem solving",,None,None,
264,2,"python, test","analytical, collaboration, time, critical, system, problem solving, technical, flexibility, learning, documentation, solution, communication",,Master,Senior,
266,2,"c, java","critical thinking, critical, responsibility, technical, learning",,None,Senior,
268,2,"linux, python, windows","reliability, teamwork, analytical thinking, planning, system, problem solving, time management, solution, communication",,None,None,
269,2,"python, test, java","collaboration, teamwork, adaptability, system, critical, initiative, problem solving, technical, learning, analytical, communication",,None,None,
270,2,"c, linux, operating system, microcontroller, algorithm","time, teamwork, system, critical, learning",,Bachelor,Mid-Level,
271,2,,"communication skills, project, collaboration, critical, client, technical, learning, solution, communication",,None,None,
273,2,python,learning,,Bachelor,None,
274,2,java,"communication skills, learning",,None,None,
275,2,java,"system, problem solving, responsibility, technical, learning",,None,None,
276,2,"c, windows, linux, test, operating system","teamwork, analytical thinking, system, problem solving, technical, time management, learning, stress, documentation",,Bachelor,Senior,
277,2,"python, c, linux, test, operating system","responsibility, system, learning",,None,Intern,
279,2,python,"documentation, analytical, collaboration",,None,None,
280,2,"c, java","communication skills, initiative, system, collaboration",,None,Senior,
281,2,"c, linux, test, operating system, algorithm","system, documentation, critical, communication",,None,Mid-Level,
282,2,"python, c, test, embedded system, debug","accountability, communication skills, collaboration, change, analytical thinking, time, planning, critical, system, responsibility, technical, learning, documentation, communication",,Master,Senior,
283,2,test,"task, reliability, project, system",,None,Mid-Level,
